"","acs_col","var_name","universe_col","pretty_name_count","pretty_name_proportion","acs_variable_name_to_interpolate_by_sum_boolean_mapping","year"
"1","B01001_001","total_pop","","Total Population (count)","",TRUE,"2010"
"2","B01001_002","men","B01001_001","Male residents (count)","Males (proportion of population)",TRUE,"2010"
"3","B01001_003","males_under_5","B01001_002","Male residents under 5 (count)","Male residents under 5 (proportion of all male residents)",TRUE,"2010"
"4","B01001_004","males_5_to_9","B01001_002","Male residents 5 to 9 (count)","Male residents 5 to 9 (proportion of all male residents)",TRUE,"2010"
"5","B01001_005","males_10_to_14","B01001_002","Male residents 10 to 14 (count)","Male residents 10 to 14 (proportion of all male residents)",TRUE,"2010"
"6","B01001_006","males_15_to_17","B01001_002","Male residents 15 to 17 (count)","Male residents 15 to 17 (proportion of all male residents)",TRUE,"2010"
"7","B01001_007","males_18_to_19","B01001_002","Male residents 18 to 19 (count)","Male residents 18 to 19 (proportion of all male residents)",TRUE,"2010"
"8","B01001_008","males_age20","B01001_002","Male residents age 20 (count)","Male residents age 20 (proportion of all male residents)",TRUE,"2010"
"9","B01001_009","males_age21","B01001_002","Male residnets age 21 (count)","Male residents age 21 (proportion of all male residents)",TRUE,"2010"
"10","B01001_010","males_22_to_24","B01001_002","Male residents 22 to 24 (count)","Male residents 22 to 24 (proportion of all male residents)",TRUE,"2010"
"11","B01001_011","males_25_to_29","B01001_002","Male residents 25 to 29 (count)","Male residents 25 to 29 (proportion of all male residents)",TRUE,"2010"
"12","B01001_012","males_30_to_34","B01001_002","Male residents 30 to 34 (count)","Male residents 30 to 34 (proportion of all male residents)",TRUE,"2010"
"13","B01001_013","males_35_to_39","B01001_002","Male residents 35 to 39 (count)","Male residents 35 to 39 (proportion of all male residents)",TRUE,"2010"
"14","B01001_014","males_40_to_44","B01001_002","Male residents 40 to 44 (count)","Male residents 40 to 44 (proportion of all male residents)",TRUE,"2010"
"15","B01001_015","males_45_to_49","B01001_002","Male residents 45 to 49 (count)","Male reidents 45 to 49 (proportion of all male residents)",TRUE,"2010"
"16","B01001_016","males_50_to_54","B01001_002","Male residents 50 to 54 (count)","Male residents 50 to 54 (proportion of all male residents)",TRUE,"2010"
"17","B01001_017","males_55_to_59","B01001_002","Male residents 55 to 59 (count)","Male residents 55 to 59 (proportion of all male residents)",TRUE,"2010"
"18","B01001_018","males_60_to_61","B01001_002","Male residents 60 to 61 (count)","Male residents 60 to 61 (proportion of all male residents)",TRUE,"2010"
"19","B01001_019","males_62_to_64","B01001_002","Male residents 62 to 64 (count)","Male residents 62 to 64 (proportion of all male residents)",TRUE,"2010"
"20","B01001_020","males_65_to_66","B01001_002","Male residents 65 to 66 (count)","Male residents 65 to 66 (proportion of all male residents)",TRUE,"2010"
"21","B01001_021","males_67_to_69","B01001_002","Male residents 67 to 69count)","Male residents 67 to 69 (proportion of all male residents)",TRUE,"2010"
"22","B01001_022","males_70_to_74","B01001_002","Male residents 70 to 74 (count)","Male residents 70 to 74 (proportion of all male residents)",TRUE,"2010"
"23","B01001_023","males_75_to_79","B01001_002","Male residents 75 to 79 (count)","Male residents 75 to 79 (proportion of all male residents)",TRUE,"2010"
"24","B01001_024","males_80_to_84","B01001_002","Male residents 80 to 84 (count)","Male residents 80 to 84 (proportion of all male residents)",TRUE,"2010"
"25","B01001_025","males_85_and_older","B01001_002","Male residents 85 and older (count)","Male residents 85 and older (proportion of all male residents)",TRUE,"2010"
"26","B01001_026","women","B01001_001","Female residents (count)","Female residents (proportion of population)",TRUE,"2010"
"27","B01001_027","females_under_5","B01001_026","Female residents under 5 (count)","Female residents under 5 (proportion of all female residents)",TRUE,"2010"
"28","B01001_028","females_5_to_9","B01001_026","Female residents 5 to 9 (count)","Female residents 5 to 9 (proportion of all female residents)",TRUE,"2010"
"29","B01001_029","females_10_to_14","B01001_026","Female residents 10 to 14 (count)","Female residents 10 to 14 (proportion of all female residents)",TRUE,"2010"
"30","B01001_030","females_15_to_17","B01001_026","Female residents 15 to 17 (count)","Female residents 15 to 17 (proportion of all female residents)",TRUE,"2010"
"31","B01001_031","females_18_to_19","B01001_026","Female residents 18 to 19 (count)","Female residents 18 to 19 (proportion of all female residents)",TRUE,"2010"
"32","B01001_032","females_age20","B01001_026","Female residents age 20 (count)","Female residents age 20 (proportion of all Female residents)",TRUE,"2010"
"33","B01001_033","females_age21","B01001_026","Female residnets age 21 (count)","Female residents age 21 (proportion of all Female residents)",TRUE,"2010"
"34","B01001_034","females_22_to_24","B01001_026","Female residents 22 to 24 (count)","Female residents 22 to 24 (proportion of all Female residents)",TRUE,"2010"
"35","B01001_035","females_25_to_29","B01001_026","Female residents 25 to 29 (count)","Female residents 25 to 29 (proportion of all Female residents)",TRUE,"2010"
